timestamp, name, index, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%], power.draw [W]
2025/11/17 00:19:42.500, NVIDIA A100-SXM4-40GB, 0, P0, 1410 MHz, 1215 MHz, 91 %, 28 %, 91.16 W
2025/11/17 00:19:42.715, NVIDIA A100-SXM4-40GB, 0, P0, 1410 MHz, 1215 MHz, 6 %, 0 %, 82.01 W
2025/11/17 00:19:42.919, NVIDIA A100-SXM4-40GB, 0, P0, 1410 MHz, 1215 MHz, 0 %, 0 %, 81.41 W
2025/11/17 00:19:43.122, NVIDIA A100-SXM4-40GB, 0, P0, 1410 MHz, 1215 MHz, 2 %, 0 %, 204.61 W
2025/11/17 00:19:43.325, NVIDIA A100-SXM4-40GB, 0, P0, 1410 MHz, 1215 MHz, 97 %, 21 %, 302.94 W
2025/11/17 00:19:43.528, NVIDIA A100-SXM4-40GB, 0, P0, 1410 MHz, 1215 MHz, 56 %, 17 %, 83.20 W
2025/11/17 00:19:43.731, NVIDIA A100-SXM4-40GB, 0, P0, 1410 MHz, 1215 MHz, 0 %, 0 %, 82.28 W
2025/11/17 00:19:43.935, NVIDIA A100-SXM4-40GB, 0, P0, 1410 MHz, 1215 MHz, 0 %, 0 %, 81.41 W
2025/11/17 00:19:44.138, NVIDIA A100-SXM4-40GB, 0, P0, 1410 MHz, 1215 MHz, 0 %, 0 %, 81.68 W
2025/11/17 00:19:44.342, NVIDIA A100-SXM4-40GB, 0, P0, 1410 MHz, 1215 MHz, 0 %, 0 %, 81.59 W
2025/11/17 00:19:44.547, NVIDIA A100-SXM4-40GB, 0, P0, 1410 MHz, 1215 MHz, 0 %, 0 %, 81.92 W
2025/11/17 00:19:44.750, NVIDIA A100-SXM4-40GB, 0, P0, 1410 MHz, 1215 MHz, 0 %, 0 %, 81.92 W
2025/11/17 00:19:44.953, NVIDIA A100-SXM4-40GB, 0, P0, 1410 MHz, 1215 MHz, 0 %, 0 %, 82.28 W
2025/11/17 00:19:45.157, NVIDIA A100-SXM4-40GB, 0, P0, 1410 MHz, 1215 MHz, 0 %, 0 %, 83.20 W
2025/11/17 00:19:45.360, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 67.26 W
2025/11/17 00:19:45.567, NVIDIA A100-SXM4-40GB, 0, P0, 270 MHz, 1215 MHz, 0 %, 0 %, 54.80 W
2025/11/17 00:19:45.771, NVIDIA A100-SXM4-40GB, 0, P0, 255 MHz, 1215 MHz, 0 %, 0 %, 54.54 W
2025/11/17 00:19:45.975, NVIDIA A100-SXM4-40GB, 0, P0, 225 MHz, 1215 MHz, 0 %, 0 %, 54.15 W
2025/11/17 00:19:46.179, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 54.21 W
2025/11/17 00:19:46.382, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 54.04 W
2025/11/17 00:19:46.586, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 54.21 W
2025/11/17 00:19:46.789, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 54.15 W
2025/11/17 00:19:46.992, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.66 W
2025/11/17 00:19:47.196, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.61 W
2025/11/17 00:19:47.399, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 53.77 W
2025/11/17 00:19:47.603, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 3 %, 0 %, 60.55 W
2025/11/17 00:19:47.809, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 19 %, 1 %, 60.23 W
2025/11/17 00:19:48.012, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 60.29 W
2025/11/17 00:19:48.215, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 60.29 W
2025/11/17 00:19:48.418, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 60.49 W
2025/11/17 00:19:48.622, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 60.55 W
2025/11/17 00:19:48.825, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 60.88 W
2025/11/17 00:19:49.028, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 60.62 W
2025/11/17 00:19:49.231, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 59.69 W
2025/11/17 00:19:49.435, NVIDIA A100-SXM4-40GB, 0, P0, 390 MHz, 1215 MHz, 0 %, 0 %, 54.42 W
2025/11/17 00:19:49.640, NVIDIA A100-SXM4-40GB, 0, P0, 360 MHz, 1215 MHz, 0 %, 0 %, 54.04 W
2025/11/17 00:19:49.844, NVIDIA A100-SXM4-40GB, 0, P0, 330 MHz, 1215 MHz, 0 %, 0 %, 54.10 W
2025/11/17 00:19:50.048, NVIDIA A100-SXM4-40GB, 0, P0, 300 MHz, 1215 MHz, 0 %, 0 %, 53.61 W
2025/11/17 00:19:50.254, NVIDIA A100-SXM4-40GB, 0, P0, 270 MHz, 1215 MHz, 0 %, 0 %, 53.77 W
2025/11/17 00:19:50.459, NVIDIA A100-SXM4-40GB, 0, P0, 255 MHz, 1215 MHz, 0 %, 0 %, 53.77 W
2025/11/17 00:19:50.666, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 59.57 W
2025/11/17 00:19:50.873, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 3 %, 0 %, 60.01 W
